CA: ['3', ' 60', ' 147', ' 17'] : 000
CA: ['3', ' 60', ' 147', ' 68'] : 000
CA: ['3', ' 60', ' 156', ' 17'] : 000
CA: ['3', ' 60', ' 156', ' 68'] : 000
CA: ['3', ' 60', ' 198', ' 17'] : 000
CA: ['3', ' 60', ' 198', ' 68'] : 000
CA: ['3', ' 60', ' 201', ' 17'] : 000
CA: ['3', ' 60', ' 201', ' 68'] : 000
CA: ['3', ' 60', ' 86', ' 5'] : 000
CA: ['3', ' 60', ' 86', ' 80'] : 000
CA: ['3', ' 60', ' 89', ' 5'] : 000
CA: ['3', ' 60', ' 89', ' 80'] : 000
CA: ['3', ' 60', ' 101', ' 5'] : 000
CA: ['3', ' 60', ' 101', ' 80'] : 000
CA: ['3', ' 60', ' 106', ' 5'] : 000
CA: ['3', ' 60', ' 106', ' 80'] : 000
CA: ['3', ' 60', ' 149', ' 5'] : 000
CA: ['3', ' 60', ' 149', ' 80'] : 000
CA: ['3', ' 60', ' 154', ' 5'] : 000
CA: ['3', ' 60', ' 154', ' 80'] : 000
CA: ['3', ' 60', ' 166', ' 5'] : 000
CA: ['3', ' 60', ' 166', ' 80'] : 000
CA: ['3', ' 60', ' 169', ' 5'] : 000
CA: ['3', ' 60', ' 169', ' 80'] : 000
CA: ['3', ' 195', ' 51', ' 17'] : 000
CA: ['3', ' 195', ' 51', ' 20'] : 000
CA: ['3', ' 195', ' 51', ' 65'] : 000
CA: ['3', ' 195', ' 51', ' 68'] : 000
CA: ['3', ' 195', ' 204', ' 17'] : 000
CA: ['3', ' 195', ' 204', ' 20'] : 000
CA: ['3', ' 195', ' 204', ' 65'] : 000
CA: ['3', ' 195', ' 204', ' 68'] : 000
CA: ['3', ' 195', ' 60', ' 17'] : 000
CA: ['3', ' 195', ' 60', ' 20'] : 000
CA: ['3', ' 195', ' 60', ' 65'] : 000
CA: ['3', ' 195', ' 60', ' 68'] : 000
CA: ['3', ' 195', ' 195', ' 17'] : 000
CA: ['3', ' 195', ' 195', ' 20'] : 000
CA: ['3', ' 195', ' 195', ' 65'] : 000
CA: ['3', ' 195', ' 195', ' 68'] : 000
CA: ['3', ' 195', ' 85', ' 5'] : 000
CA: ['3', ' 195', ' 85', ' 20'] : 000
CA: ['3', ' 195', ' 85', ' 65'] : 000
CA: ['3', ' 195', ' 85', ' 80'] : 000
CA: ['3', ' 195', ' 90', ' 5'] : 000
CA: ['3', ' 195', ' 90', ' 20'] : 000
CA: ['3', ' 195', ' 90', ' 65'] : 000
CA: ['3', ' 195', ' 90', ' 80'] : 000
CA: ['3', ' 195', ' 165', ' 5'] : 000
CA: ['3', ' 195', ' 165', ' 20'] : 000
CA: ['3', ' 195', ' 165', ' 65'] : 000
CA: ['3', ' 195', ' 165', ' 80'] : 000
CA: ['3', ' 195', ' 170', ' 5'] : 000
CA: ['3', ' 195', ' 170', ' 20'] : 000
CA: ['3', ' 195', ' 170', ' 65'] : 000
CA: ['3', ' 195', ' 170', ' 80'] : 000
CA: ['3', ' 195', ' 102', ' 5'] : 000
CA: ['3', ' 195', ' 102', ' 17'] : 000
CA: ['3', ' 195', ' 102', ' 68'] : 000
CA: ['3', ' 195', ' 102', ' 80'] : 000
CA: ['3', ' 195', ' 105', ' 5'] : 000
CA: ['3', ' 195', ' 105', ' 17'] : 000
CA: ['3', ' 195', ' 105', ' 68'] : 000
CA: ['3', ' 195', ' 105', ' 80'] : 000
CA: ['3', ' 195', ' 150', ' 5'] : 000
CA: ['3', ' 195', ' 150', ' 17'] : 000
